,Round,Date,Home,Away,Score,GDH,GDA,GFTH,GFTA,GATH,GATA,GFH,GFA,GAH,GAA,Round_,Home_,Away_,HomeScore,AwayScore
99,Omgång 16,2019-09-08,Rosengård FCR,Djurgården DIF,3-1,34,-26,46,18,12,44,31,10,7,23,7,8,0,3,1
100,Omgång 16,2019-09-09,Växjö VÄX,Linköping LFC,1-0,-15,12,21,28,36,16,14,10,12,12,7,10,6,1,0
101,Omgång 16,2019-09-09,Växjö VÄX,Linköping LFC,1-0,-15,12,21,28,36,16,14,10,12,12,7,10,6,1,0
102,Omgång 17,2019-09-13,Linköping LFC,Eskilstuna ESK,0-1,12,9,28,27,16,18,18,14,4,12,8,6,1,0,1
103,Omgång 17,2019-09-13,Linköping LFC,Eskilstuna ESK,0-1,12,9,28,27,16,18,18,14,4,12,8,6,1,0,1
104,Omgång 17,2019-09-14,Kristianstad KRI,Kungsbacka KUN,5-0,16,-48,38,13,22,61,24,6,9,33,8,3,4,5,0
105,Omgång 17,2019-09-14,Kristianstad KRI,Kungsbacka KUN,5-0,16,-48,38,13,22,61,24,6,9,33,8,3,4,5,0
106,Omgång 17,2019-09-15,Piteå PIT,Växjö VÄX,4-1,7,-15,23,21,16,36,14,7,8,24,8,7,10,4,1
107,Omgång 17,2019-09-15,Vittsjö VIT,Örebro ÖRE,1-0,16,-3,28,21,12,24,15,12,4,12,8,9,11,1,0
108,Omgång 17,2019-09-15,Kopparbergs / Göteborg KOP,Rosengård FCR,0-2,22,34,39,46,17,12,19,15,7,5,8,2,8,0,2
109,Omgång 17,2019-09-15,Djurgården DIF,LB07 LIM,0-0,-26,-24,18,16,44,40,8,6,21,22,8,0,5,0,0
110,Omgång 17,2019-09-15,Vittsjö VIT,Örebro ÖRE,1-0,16,-3,28,21,12,24,15,12,4,12,8,9,11,1,0
111,Omgång 17,2019-09-15,Djurgården DIF,LB07 LIM,0-0,-26,-24,18,16,44,40,8,6,21,22,8,0,5,0,0
112,Omgång 17,2019-09-15,Kopparbergs / Göteborg KOP,Rosengård FCR,0-2,22,34,39,46,17,12,19,15,7,5,8,2,8,0,2
113,Omgång 17,2019-09-15,Piteå PIT,Växjö VÄX,4-1,7,-15,23,21,16,36,14,7,8,24,8,7,10,4,1
114,Omgång 18,2019-09-21,Djurgården DIF,Kopparbergs / Göteborg KOP,1-3,-26,22,18,39,44,17,8,20,21,10,9,0,2,1,3
115,Omgång 18,2019-09-21,Djurgården DIF,Kopparbergs / Göteborg KOP,1-3,-26,22,18,39,44,17,8,20,21,10,9,0,2,1,3
116,Omgång 18,2019-09-21,LB07 LIM,Kristianstad KRI,2-2,-24,16,16,38,40,22,10,14,18,13,9,5,3,2,2
117,Omgång 18,2019-09-21,LB07 LIM,Kristianstad KRI,2-2,-24,16,16,38,40,22,10,14,18,13,9,5,3,2,2
118,Omgång 18,2019-09-22,Eskilstuna ESK,Vittsjö VIT,1-0,9,16,27,28,18,12,13,13,6,8,9,1,9,1,0
119,Omgång 18,2019-09-22,Piteå PIT,Linköping LFC,1-0,7,12,23,28,16,16,14,10,8,12,9,7,6,1,0
120,Omgång 18,2019-09-22,Eskilstuna ESK,Vittsjö VIT,1-0,9,16,27,28,18,12,13,13,6,8,9,1,9,1,0
121,Omgång 18,2019-09-22,Piteå PIT,Linköping LFC,1-0,7,12,23,28,16,16,14,10,8,12,9,7,6,1,0
122,Omgång 18,2019-09-22,Rosengård FCR,Örebro ÖRE,3-1,34,-3,46,21,12,24,31,12,7,12,9,8,11,3,1
123,Omgång 18,2019-09-22,Rosengård FCR,Örebro ÖRE,3-1,34,-3,46,21,12,24,31,12,7,12,9,8,11,3,1
124,Omgång 18,2019-09-23,Växjö VÄX,Kungsbacka KUN,5-5,-15,-48,21,13,36,61,14,6,12,33,9,10,4,5,5
125,Omgång 18,2019-09-23,Växjö VÄX,Kungsbacka KUN,5-5,-15,-48,21,13,36,61,14,6,12,33,9,10,4,5,5
126,Omgång 19,2019-09-26,Linköping LFC,Djurgården DIF,4-1,12,-26,28,18,16,44,18,10,4,23,10,6,0,4,1
127,Omgång 19,2019-09-28,LB07 LIM,Växjö VÄX,1-1,-24,-15,16,21,40,36,10,7,18,24,10,5,10,1,1
128,Omgång 19,2019-09-28,Kungsbacka KUN,Rosengård FCR,1-2,-48,34,13,46,61,12,7,15,28,5,10,4,8,1,2
129,Omgång 19,2019-09-29,Kristianstad KRI,Piteå PIT,1-1,16,7,38,23,22,16,24,9,9,8,10,3,7,1,1
130,Omgång 19,2019-09-29,Kopparbergs / Göteborg KOP,Vittsjö VIT,2-1,22,16,39,28,17,12,19,13,7,8,10,2,9,2,1
131,Omgång 19,2019-09-29,Örebro ÖRE,Eskilstuna ESK,2-2,-3,9,21,27,24,18,9,14,12,12,10,11,1,2,2
132,Omgång 20,2019-10-12,Piteå PIT,Kopparbergs / Göteborg KOP,0-0,7,22,23,39,16,17,14,20,8,10,12,7,2,0,0
133,Omgång 20,2019-10-12,Djurgården DIF,Kungsbacka KUN,0-0,-26,-48,18,13,44,61,8,6,21,33,12,0,4,0,0
134,Omgång 20,2019-10-13,Vittsjö VIT,Kristianstad KRI,0-0,16,16,28,38,12,22,15,14,4,13,12,9,3,0,0
