Round,Date,Home,Away,Score,GDH,GDA,GFTH,GFTA,GATH,GATA,GFH,GFA,GAH,GAA
Omgång 18,2019-09-22,Rosengård FCR,Örebro ÖRE,3-1,34,-4,49,22,15,26,34,13,10,14
Omgång 18,2019-09-22,Eskilstuna ESK,Vittsjö VIT,1-0,10,18,28,30,18,12,14,13,6,8
Omgång 18,2019-09-23,Växjö VÄX,Kungsbacka KUN,5-5,-14,-51,23,13,37,64,16,6,13,36
Omgång 18,2019-09-23,Växjö VÄX,Kungsbacka KUN,5-5,-14,-51,23,13,37,64,16,6,13,36
Omgång 19,2019-09-26,Linköping LFC,Djurgården DIF,4-1,12,-23,31,21,19,44,18,10,4,23
Omgång 19,2019-09-26,Linköping LFC,Djurgården DIF,4-1,12,-23,31,21,19,44,18,10,4,23
Omgång 19,2019-09-28,LB07 LIM,Växjö VÄX,1-1,-25,-14,16,23,41,37,10,7,18,24
Omgång 19,2019-09-28,Kungsbacka KUN,Rosengård FCR,1-2,-51,34,13,49,64,15,7,15,28,5
Omgång 19,2019-09-28,Kungsbacka KUN,Rosengård FCR,1-2,-51,34,13,49,64,15,7,15,28,5
Omgång 19,2019-09-28,LB07 LIM,Växjö VÄX,1-1,-25,-14,16,23,41,37,10,7,18,24
Omgång 19,2019-09-29,Kopparbergs / Göteborg KOP,Vittsjö VIT,2-1,23,18,41,30,18,12,19,13,7,8
Omgång 19,2019-09-29,Örebro ÖRE,Eskilstuna ESK,2-2,-4,10,22,28,26,18,9,14,12,12
Omgång 19,2019-09-29,Kristianstad KRI,Piteå PIT,1-1,14,6,38,24,24,18,24,9,9,8
Omgång 19,2019-09-29,Kopparbergs / Göteborg KOP,Vittsjö VIT,2-1,23,18,41,30,18,12,19,13,7,8
Omgång 19,2019-09-29,Kristianstad KRI,Piteå PIT,1-1,14,6,38,24,24,18,24,9,9,8
Omgång 19,2019-09-29,Örebro ÖRE,Eskilstuna ESK,2-2,-4,10,22,28,26,18,9,14,12,12
Omgång 20,2019-10-12,Djurgården DIF,Kungsbacka KUN,3-0,-23,-51,21,13,44,64,11,6,21,36
Omgång 20,2019-10-12,Piteå PIT,Kopparbergs / Göteborg KOP,1-2,6,23,24,41,18,18,15,22,10,11
Omgång 20,2019-10-13,Vittsjö VIT,Kristianstad KRI,2-0,18,14,30,38,12,24,17,14,4,15
Omgång 20,2019-10-13,Växjö VÄX,Örebro ÖRE,2-1,-14,-4,23,22,37,26,16,13,13,14
Omgång 20,2019-10-13,Rosengård FCR,Linköping LFC,3-3,34,12,49,31,15,19,34,13,10,15
Omgång 20,2019-10-13,Eskilstuna ESK,LB07 LIM,1-0,10,-25,28,16,18,41,14,6,6,23
