,Round,Date,Home,Away,Score,GDH,GDA,GFTH,GFTA,GATH,GATA,GFH,GFA,GAH,GAA,Round_,Home_,Away_,HomeScore,AwayScore
58,Omgång 6,2020-07-25,Piteå PIT,Växjö VÄX,0-1,2,-10,8,2,6,12,3,1,4,8,6,6,10,0,1
59,Omgång 6,2020-07-25,Djurgården DIF,Kristianstad KRI,3-3,-3,-3,8,12,11,15,6,10,5,13,6,0,4,3,3
60,Omgång 7,2020-07-29,Kristianstad KRI,Piteå PIT,0-0,-3,2,12,8,15,6,2,5,2,2,7,4,6,0,0
61,Omgång 7,2020-07-29,Vittsjö VIT,IK Uppsala UPP,0-0,-6,0,6,8,12,8,4,2,6,3,7,9,2,0,0
62,Omgång 7,2020-07-29,Djurgården DIF,Eskilstuna ESK,0-0,-3,1,8,11,11,10,6,5,5,5,7,0,1,0,0
63,Omgång 7,2020-07-29,Linköping LFC,Örebro ÖRE,0-0,5,-4,11,7,6,11,5,3,0,7,7,5,11,0,0
64,Omgång 7,2020-07-30,Växjö VÄX,Umeå IK UME,0-0,-10,-8,2,6,12,14,1,1,4,4,7,10,8,0,0
65,Omgång 7,2020-07-30,Kopparbergs / Göteborg KOP,Rosengård FCR,0-0,13,13,15,15,2,2,11,7,1,0,7,3,7,0,0
66,Omgång 8,2020-08-02,Kristianstad KRI,Umeå IK UME,0-0,-3,-8,12,6,15,14,2,1,2,4,8,4,8,0,0
67,Omgång 8,2020-08-02,Växjö VÄX,Djurgården DIF,0-0,-10,-3,2,8,12,11,1,2,4,6,8,10,0,0,0
68,Omgång 8,2020-08-02,Örebro ÖRE,Vittsjö VIT,0-0,-4,-6,7,6,11,12,4,2,4,6,8,11,9,0,0
69,Omgång 8,2020-08-02,Rosengård FCR,Piteå PIT,0-0,13,2,15,8,2,6,8,5,2,2,8,7,6,0,0
70,Omgång 8,2020-08-03,Kopparbergs / Göteborg KOP,Linköping LFC,0-0,13,5,15,11,2,6,11,6,1,6,8,3,5,0,0
71,Omgång 8,2020-08-03,Eskilstuna ESK,IK Uppsala UPP,0-0,1,0,11,8,10,8,6,2,5,3,8,1,2,0,0
72,Omgång 9,2020-08-07,IK Uppsala UPP,Rosengård FCR,0-0,0,13,8,15,8,2,6,7,5,0,9,2,7,0,0
73,Omgång 9,2020-08-08,Linköping LFC,Kristianstad KRI,0-0,5,-3,11,12,6,15,5,10,0,13,9,5,4,0,0
74,Omgång 9,2020-08-08,Umeå IK UME,Vittsjö VIT,0-0,-8,-6,6,6,14,12,5,2,10,6,9,8,9,0,0
75,Omgång 9,2020-08-08,Piteå PIT,Kopparbergs / Göteborg KOP,0-0,2,13,8,15,6,2,3,4,4,1,9,6,3,0,0
76,Omgång 9,2020-08-08,Eskilstuna ESK,Växjö VÄX,0-0,1,-10,11,2,10,12,6,1,5,8,9,1,10,0,0
77,Omgång 9,2020-08-08,Djurgården DIF,Örebro ÖRE,0-0,-3,-4,8,7,11,11,6,3,5,7,9,0,11,0,0
78,Omgång 10,2020-08-12,Kristianstad KRI,Växjö VÄX,0-0,-3,-10,12,2,15,12,2,1,2,8,10,4,10,0,0
79,Omgång 10,2020-08-12,Örebro ÖRE,IK Uppsala UPP,0-0,-4,0,7,8,11,8,4,2,4,3,10,11,2,0,0
80,Omgång 10,2020-08-12,Piteå PIT,Djurgården DIF,0-0,2,-3,8,8,6,11,3,2,4,6,10,6,0,0,0
81,Omgång 10,2020-08-12,Vittsjö VIT,Kopparbergs / Göteborg KOP,0-0,-6,13,6,15,12,2,4,4,6,1,10,9,3,0,0
82,Omgång 10,2020-08-12,Umeå IK UME,Eskilstuna ESK,0-0,-8,1,6,11,14,10,5,5,10,5,10,8,1,0,0
83,Omgång 10,2020-08-12,Rosengård FCR,Linköping LFC,0-0,13,5,15,11,2,6,8,6,2,6,10,7,5,0,0
84,Omgång 11,2020-08-16,Linköping LFC,IK Uppsala UPP,0-0,5,0,11,8,6,8,5,2,0,3,11,5,2,0,0
85,Omgång 11,2020-08-16,Växjö VÄX,Vittsjö VIT,0-0,-10,-6,2,6,12,12,1,2,4,6,11,10,9,0,0
86,Omgång 11,2020-08-16,Eskilstuna ESK,Piteå PIT,0-0,1,2,11,8,10,6,6,5,5,2,11,1,6,0,0
87,Omgång 11,2020-08-16,Örebro ÖRE,Kristianstad KRI,0-0,-4,-3,7,12,11,15,4,10,4,13,11,11,4,0,0
88,Omgång 11,2020-08-17,Kopparbergs / Göteborg KOP,Umeå IK UME,0-0,13,-8,15,6,2,14,11,1,1,4,11,3,8,0,0
89,Omgång 11,2020-08-17,Djurgården DIF,Rosengård FCR,0-0,-3,13,8,15,11,2,6,7,5,0,11,0,7,0,0
90,Omgång 12,2020-08-22,Piteå PIT,Umeå IK UME,0-0,2,-8,8,6,6,14,3,1,4,4,12,6,8,0,0
91,Omgång 12,2020-08-23,IK Uppsala UPP,Örebro ÖRE,0-0,0,-4,8,7,8,11,6,3,5,7,12,2,11,0,0
92,Omgång 12,2020-08-23,Vittsjö VIT,Eskilstuna ESK,0-0,-6,1,6,11,12,10,4,5,6,5,12,9,1,0,0
93,Omgång 12,2020-08-23,Kristianstad KRI,Djurgården DIF,0-0,-3,-3,12,8,15,11,2,2,2,6,12,4,0,0,0
94,Omgång 12,2020-08-23,Rosengård FCR,Kopparbergs / Göteborg KOP,0-0,13,13,15,15,2,2,8,4,2,1,12,7,3,0,0
95,Omgång 12,2020-08-23,Växjö VÄX,Linköping LFC,0-0,-10,5,2,11,12,6,1,6,4,6,12,10,5,0,0
96,Omgång 13,2020-08-29,Örebro ÖRE,Linköping LFC,0-0,-4,5,7,11,11,6,4,6,4,6,13,11,5,0,0
97,Omgång 13,2020-08-29,Umeå IK UME,IK Uppsala UPP,0-0,-8,0,6,8,14,8,5,2,10,3,13,8,2,0,0
98,Omgång 13,2020-08-29,Kristianstad KRI,Kopparbergs / Göteborg KOP,0-0,-3,13,12,15,15,2,2,4,2,1,13,4,3,0,0
99,Omgång 13,2020-08-30,Eskilstuna ESK,Rosengård FCR,0-0,1,13,11,15,10,2,6,7,5,0,13,1,7,0,0
100,Omgång 13,2020-08-30,Djurgården DIF,Piteå PIT,0-0,-3,2,8,8,11,6,6,5,5,2,13,0,6,0,0
101,Omgång 13,2020-08-30,Vittsjö VIT,Växjö VÄX,0-0,-6,-10,6,2,12,12,4,1,6,8,13,9,10,0,0
102,Omgång 14,2020-09-04,Växjö VÄX,Örebro ÖRE,0-0,-10,-4,2,7,12,11,1,3,4,7,14,10,11,0,0
103,Omgång 14,2020-09-05,Linköping LFC,Umeå IK UME,0-0,5,-8,11,6,6,14,5,1,0,4,14,5,8,0,0
104,Omgång 14,2020-09-05,IK Uppsala UPP,Vittsjö VIT,0-0,0,-6,8,6,8,12,6,2,5,6,14,2,9,0,0
105,Omgång 14,2020-09-05,Kopparbergs / Göteborg KOP,Eskilstuna ESK,0-0,13,1,15,11,2,10,11,5,1,5,14,3,1,0,0
106,Omgång 14,2020-09-06,Rosengård FCR,Djurgården DIF,0-0,13,-3,15,8,2,11,8,2,2,6,14,7,0,0,0
